changes,data_point,fun,Linear,Log,Constant,min_log_mean,max_log_mean,prev_log_mean,data_i
0,0,new cost model + new data point,1,-3,0,0.693147,2.995732,0,-1
0,1,new cost model + new data point,1,-6,0,0.693147,2.995732,0,-1
0,2,new cost model + new data point,1,-10,0,0.693147,2.995732,0,-1
0,3,new cost model + new data point,1,-11.25,0,0.693147,2.995732,0,-1
0,4,new cost model + new data point,1,-13,0,0.693147,2.995732,0,-1
0,5,new cost model + new data point,1,-11.1666666666667,0,0.693147,2.995732,0,-1
1,1,prev cost model,1,-3,0,0.693147,2.995732,0,-1
1,1,new cost model = min prev cost,0,0,-0.295836866004329,0.693147,2.995732,1.098612,0
1,1,new cost model,0,0,-0.295836866004329,0.693147,2.995732,1.098612,0
1,1,new cost model + new data point,0.5,-4.5,-0.147918433002164,0.693147,2.995732,1.098612,0
1,2,prev cost model,1,-6,0,0.693147,2.995732,0,-1
1,2,min prev cost,0,0,-4.75055681536833,0.693147,2.995732,1.791759,1
1,2,cost model,0.5,-4.5,-0.147918433002164,0.693147,2.995732,1.098612,0
1,2,new cost model,0,0,-4.75055681536833,0.693147,1.542279,1.791759,1
1,2,new cost model,0.5,-4.5,-0.147918433002164,1.542279,2.734997,1.098612,0
1,2,new cost model,0,0,-4.75055681536833,2.734997,2.995732,1.791759,1
1,2,new cost model + new data point,0.333333333333333,-6,-3.16703787691222,0.693147,1.542279,1.791759,1
1,2,new cost model + new data point,0.666666666666667,-9,-0.0986122886681096,1.542279,2.734997,1.098612,0
1,2,new cost model + new data point,0.333333333333333,-6,-3.16703787691222,2.734997,2.995732,1.791759,1
1,3,prev cost model,1,-10,0,0.693147,2.995732,0,-1
1,3,min prev cost,0,0,-13.0258509299405,0.693147,2.995732,2.302585,2
1,3,cost model,0.333333333333333,-6,-3.16703787691222,0.693147,1.542279,1.791759,1
1,3,cost model,0.666666666666667,-9,-0.0986122886681096,1.542279,2.734997,1.098612,0
1,3,cost model,0.333333333333333,-6,-3.16703787691222,2.734997,2.995732,1.791759,1
1,3,new cost model,0,0,-13.0258509299405,0.693147,1.964728,2.302585,2
1,3,new cost model,0.666666666666667,-9,-0.0986122886681096,1.964728,2.734997,1.098612,0
1,3,new cost model,0.333333333333333,-6,-3.16703787691222,2.734997,2.995732,1.791759,1
1,3,new cost model + new data point,0.25,-3.75,-9.76938819745534,0.693147,1.964728,2.302585,2
1,3,new cost model + new data point,0.75,-10.5,-0.0739592165010822,1.964728,2.734997,1.098612,0
1,3,new cost model + new data point,0.5,-8.25,-2.37527840768416,2.734997,2.995732,1.791759,1
1,4,prev cost model,1,-11.25,0,0.693147,2.995732,0,-1
1,4,min prev cost,0,0,-15.9791414473173,0.693147,2.995732,2.420368,3
1,4,cost model,0.25,-3.75,-9.76938819745534,0.693147,1.964728,2.302585,2
1,4,cost model,0.75,-10.5,-0.0739592165010822,1.964728,2.734997,1.098612,0
1,4,cost model,0.5,-8.25,-2.37527840768416,2.734997,2.995732,1.791759,1
1,4,new cost model,0,0,-15.9791414473173,0.693147,2.0954,2.420368,3
1,4,new cost model,0.75,-10.5,-0.0739592165010822,2.0954,2.734997,1.098612,0
1,4,new cost model,0.5,-8.25,-2.37527840768416,2.734997,2.995732,1.791759,1
1,4,new cost model + new data point,0.2,-4,-12.7833131578539,0.693147,2.0954,2.420368,3
1,4,new cost model + new data point,0.8,-12.4,-0.0591673732008658,2.0954,2.734997,1.098612,0
1,4,new cost model + new data point,0.6,-10.6,-1.90022272614733,2.734997,2.995732,1.791759,1
1,5,prev cost model,1,-13,0,0.693147,2.995732,0,-1
1,5,min prev cost,0,0,-20.344341647,0.693147,2.995732,2.564949,4
1,5,cost model,0.2,-4,-12.7833131578539,0.693147,2.0954,2.420368,3
1,5,cost model,0.8,-12.4,-0.0591673732008658,2.0954,2.734997,1.098612,0
1,5,cost model,0.6,-10.6,-1.90022272614733,2.734997,2.995732,1.791759,1
1,5,new cost model,0,0,-20.344341647,0.693147,2.244898,2.564949,4
1,5,new cost model,0.8,-12.4,-0.0591673732008658,2.244898,2.734997,1.098612,0
1,5,new cost model,0.6,-10.6,-1.90022272614733,2.734997,2.995732,1.791759,1
1,5,new cost model + new data point,0.166666666666667,-0.333333333333333,-16.9536180391667,0.693147,2.244898,2.564949,4
1,5,new cost model + new data point,0.833333333333333,-10.6666666666667,-0.0493061443340548,2.244898,2.734997,1.098612,0
1,5,new cost model + new data point,0.666666666666667,-9.16666666666667,-1.58351893845611,2.734997,2.995732,1.791759,1
2,2,prev cost model,0.5,-4.5,-0.147918433002164,0.693147,2.995732,1.098612,0
2,2,new cost model = min prev cost,0,0,-5.53542903101515,0.693147,2.995732,2.197225,1
2,2,new cost model,0,0,-5.53542903101515,0.693147,2.995732,2.197225,1
2,2,new cost model + new data point,0.333333333333333,-6,-3.69028602067677,0.693147,2.995732,2.197225,1
2,3,prev cost model,0.333333333333333,-6,-3.16703787691222,0.693147,1.542279,1.791759,1
2,3,prev cost model,0.666666666666667,-9,-0.0986122886681096,1.542279,2.734997,1.098612,0
2,3,prev cost model,0.333333333333333,-6,-3.16703787691222,2.734997,2.995732,1.791759,1
2,3,min prev cost,0,0,-14.5228194576676,0.693147,2.995732,2.60269,2
2,3,cost model,0.333333333333333,-6,-3.69028602067677,0.693147,2.995732,2.197225,1
2,3,new cost model,0,0,-14.5228194576676,0.693147,2.447813,2.60269,2
2,3,new cost model,0.333333333333333,-6,-3.69028602067677,2.447813,2.995732,2.197225,1
2,3,new cost model + new data point,0.25,-3.75,-10.8921145932507,0.693147,2.447813,2.60269,2
2,3,new cost model + new data point,0.5,-8.25,-2.76771451550758,2.447813,2.995732,2.197225,1
2,4,prev cost model,0.25,-3.75,-9.76938819745534,0.693147,1.964728,2.302585,2
2,4,prev cost model,0.75,-10.5,-0.0739592165010822,1.964728,2.734997,1.098612,0
2,4,prev cost model,0.5,-8.25,-2.37527840768416,2.734997,2.995732,1.791759,1
2,4,min prev cost,0,0,-17.2840611774613,0.693147,2.995732,2.639057,3
2,4,cost model,0.25,-3.75,-10.8921145932507,0.693147,2.447813,2.60269,2
2,4,cost model,0.5,-8.25,-2.76771451550758,2.447813,2.995732,2.197225,1
2,4,new cost model,0,0,-17.2840611774613,0.693147,2.492026,2.639057,3
2,4,new cost model,0.5,-8.25,-2.76771451550758,2.492026,2.995732,2.197225,1
2,4,new cost model + new data point,0.2,-4,-13.827248941969,0.693147,2.492026,2.639057,3
2,4,new cost model + new data point,0.6,-10.6,-2.21417161240606,2.492026,2.995732,2.197225,1
2,5,prev cost model,0.2,-4,-12.7833131578539,0.693147,2.0954,2.420368,3
2,5,prev cost model,0.8,-12.4,-0.0591673732008658,2.0954,2.734997,1.098612,0
2,5,prev cost model,0.6,-10.6,-1.90022272614733,2.734997,2.995732,1.791759,1
2,5,min prev cost,0,0,-21.7400267499179,0.693147,2.995732,2.87168,4
2,5,cost model,0.2,-4,-13.827248941969,0.693147,2.492026,2.639057,3
2,5,cost model,0.6,-10.6,-2.21417161240606,2.492026,2.995732,2.197225,1
2,5,new cost model,0,0,-21.7400267499179,0.693147,2.61801,2.87168,4
2,5,new cost model,0.6,-10.6,-2.21417161240606,2.61801,2.995732,2.197225,1
2,5,new cost model + new data point,0.166666666666667,-0.333333333333333,-18.1166889582649,0.693147,2.61801,2.87168,4
2,5,new cost model + new data point,0.666666666666667,-9.16666666666667,-1.84514301033838,2.61801,2.995732,2.197225,1
3,3,prev cost model,0.333333333333333,-6,-3.69028602067677,0.693147,2.995732,2.197225,1
3,3,new cost model = min prev cost,0,0,-15.0325165680538,0.693147,2.995732,2.890372,2
3,3,new cost model,0,0,-15.0325165680538,0.693147,2.995732,2.890372,2
3,3,new cost model + new data point,0.25,-3.75,-11.2743874260403,0.693147,2.995732,2.890372,2
3,4,prev cost model,0.25,-3.75,-10.8921145932507,0.693147,2.447813,2.60269,2
3,4,prev cost model,0.5,-8.25,-2.76771451550758,2.447813,2.995732,2.197225,1
3,4,min prev cost,0,0,-17.6454376579865,0.693147,2.995732,2.80336,3
3,4,cost model,0.25,-3.75,-11.2743874260403,0.693147,2.995732,2.890372,2
3,4,new cost model,0,0,-17.6454376579865,0.693147,2.570013,2.80336,3
3,4,new cost model,0.25,-3.75,-11.2743874260403,2.570013,2.840016,2.890372,2
3,4,new cost model,0,0,-17.6454376579865,2.840016,2.995732,2.80336,3
3,4,new cost model + new data point,0.2,-4,-14.1163501263892,0.693147,2.570013,2.80336,3
3,4,new cost model + new data point,0.4,-7,-9.01950994083225,2.570013,2.840016,2.890372,2
3,4,new cost model + new data point,0.2,-4,-14.1163501263892,2.840016,2.995732,2.80336,3
3,5,prev cost model,0.2,-4,-13.827248941969,0.693147,2.492026,2.639057,3
3,5,prev cost model,0.6,-10.6,-2.21417161240606,2.492026,2.995732,2.197225,1
3,5,min prev cost,0,0,-22.0539756361766,0.693147,2.995732,2.87168,4
3,5,cost model,0.2,-4,-14.1163501263892,0.693147,2.570013,2.80336,3
3,5,cost model,0.4,-7,-9.01950994083225,2.570013,2.840016,2.890372,2
3,5,cost model,0.2,-4,-14.1163501263892,2.840016,2.995732,2.80336,3
3,5,new cost model,0,0,-22.0539756361766,0.693147,2.841355,2.87168,4
3,5,new cost model,0.2,-4,-14.1163501263892,2.841355,2.995732,2.80336,3
3,5,new cost model + new data point,0.166666666666667,-0.333333333333333,-18.3783130301472,0.693147,2.841355,2.87168,4
3,5,new cost model + new data point,0.333333333333333,-3.66666666666667,-11.7636251053243,2.841355,2.995732,2.80336,3
4,4,prev cost model,0.25,-3.75,-11.2743874260403,0.693147,2.995732,2.890372,2
4,4,new cost model = min prev cost,0,0,-17.6795756801736,0.693147,2.995732,2.70805,3
4,4,new cost model,0,0,-17.6795756801736,0.693147,2.995732,2.70805,3
4,4,new cost model + new data point,0.2,-4,-14.1436605441389,0.693147,2.995732,2.70805,3
4,5,prev cost model,0.2,-4,-14.1163501263892,0.693147,2.570013,2.80336,3
4,5,prev cost model,0.4,-7,-9.01950994083225,2.570013,2.840016,2.890372,2
4,5,prev cost model,0.2,-4,-14.1163501263892,2.840016,2.995732,2.80336,3
4,5,min prev cost,0,0,-22.0992792206052,0.693147,2.995732,2.995732,4
4,5,cost model,0.2,-4,-14.1436605441389,0.693147,2.995732,2.70805,3
4,5,new cost model,0,0,-22.0992792206052,0.693147,2.876556,2.995732,4
4,5,new cost model,0.2,-4,-14.1436605441389,2.876556,2.995732,2.70805,3
4,5,new cost model + new data point,0.166666666666667,-0.333333333333333,-18.416066017171,0.693147,2.876556,2.995732,4
4,5,new cost model + new data point,0.333333333333333,-3.66666666666667,-11.7863837867824,2.876556,2.995732,2.70805,3
